flight date,airline,flight_num,class,from,dep_time,to,arr_time,duration,price,stops,Unnamed: 11,Unnamed: 12
01-07-2023,Air India,AI-9927,economy,Bangalore,18:15,Chennai,08:00,13h 45m,"8,678",1-stop,,
01-07-2023,Vistara,UK-852,economy,Bangalore,09:30,Chennai,20:15,10h 45m,"16,195",1-stop,,
01-07-2023,Vistara,UK-854,business,Bangalore,18:25,Chennai,23:05,04h 40m,"44,944",1-stop,,
01-07-2023,Vistara,UK-808,economy,Bangalore,08:00,Chennai,20:15,12h 15m,"12,579",1-stop,,
01-07-2023,Indigo,6E-541,economy,Bangalore,09:20,Chennai,10:25,01h 05m,"3,533",non-stop,,
01-07-2023,Air India,AI-505,economy,Bangalore,10:25,Chennai,23:35,13h 10m,"14,669",1-stop,,
01-07-2023,Vistara,UK-864,business,Bangalore,19:00,Chennai,08:50,13h 50m,"44,944",1-stop,,
01-07-2023,Vistara,UK-858,economy,Bangalore,06:40,Chennai,08:50,26h 10m,"9,514",1-stop,,
01-07-2023,Vistara,UK-852,economy,Bangalore,09:30,Delhi,16:55,07h 25m,"10,957",1-stop,,
01-07-2023,Air India,AI-610,economy,Bangalore,19:10,Delhi,18:15,23h 05m,"10,851",1-stop,,
01-07-2023,AirAsia,I5-410,economy,Bangalore,07:20,Delhi,14:55,07h 35m,"7,559",1-stop,,
01-07-2023,AirAsia,I5-2472,economy,Bangalore,06:30,Delhi,22:40,16h 10m,"7,559",1-stop,,
01-07-2023,Air India,AI-9517,economy,Bangalore,18:50,Delhi,18:30,23h 40m,"10,003",1-stop,,
01-07-2023,Air India,AI-501,business,Bangalore,13:20,Delhi,15:55,02h 35m,"33,417",non-stop,,
01-07-2023,Air India,AI-640,economy,Bangalore,06:45,Delhi,18:15,11h 30m,"10,851",1-stop,,
01-07-2023,Vistara,UK-850,business,Bangalore,19:55,Delhi,08:05,12h 10m,"43,159",1-stop,,
01-07-2023,Vistara,UK-850,economy,Bangalore,19:55,Hyderabad,20:55,25h 00m,"7,891",1-stop,,
01-07-2023,Indigo,6E-841,economy,Bangalore,14:50,Hyderabad,23:55,09h 05m,"4,381",1-stop,,
01-07-2023,Indigo,6E-855,economy,Bangalore,20:15,Hyderabad,21:30,01h 15m,"4,593",non-stop,,
01-07-2023,Vistara,UK-818,economy,Bangalore,19:40,Hyderabad,09:40,14h 00m,"11,317",1-stop,,
01-07-2023,Vistara,UK-810,business,Bangalore,07:00,Hyderabad,22:55,15h 55m,"57,437",1-stop,,
01-07-2023,Vistara,UK-814,business,Bangalore,21:10,Hyderabad,09:40,12h 30m,"57,437",1-stop,,
01-07-2023,Air India,AI-808,economy,Bangalore,21:00,Hyderabad,11:55,14h 55m,"13,609",1-stop,,
01-07-2023,Indigo,6E-7257,economy,Bangalore,10:25,Hyderabad,15:10,04h 45m,"5,543",1-stop,,
01-07-2023,Vistara,UK-866,business,Bangalore,21:40,Kolkata,19:55,22h 15m,"52,594",1-stop,,
01-07-2023,Vistara,UK-818,business,Bangalore,19:40,Kolkata,19:35,23h 55m,"63,121",1-stop,,
01-07-2023,Air India,AI-9876,economy,Bangalore,15:15,Kolkata,08:05,16h 50m,"10,109","1-stop
												Via KLH
												",,
01-07-2023,AirAsia,I5-996,economy,Bangalore,19:25,Kolkata,07:10,11h 45m,"5,228",1-stop,,
01-07-2023,Vistara,UK-854,economy,Bangalore,18:25,Kolkata,09:40,15h 15m,"12,534",1-stop,,
01-07-2023,Vistara,UK-897,economy,Bangalore,07:55,Kolkata,19:55,12h 00m,"15,601",2+-stop,,
01-07-2023,Air India,AI-640,business,Bangalore,06:45,Kolkata,23:40,16h 55m,"52,594",1-stop,,
01-07-2023,AirAsia,I5-592,economy,Bangalore,21:10,Kolkata,23:50,02h 40m,"5,231",non-stop,,
01-07-2023,Vistara,UK-852,economy,Bangalore,09:30,Mumbai,11:25,01h 55m,"5,337",non-stop,,
01-07-2023,Air India,AI-501,business,Bangalore,13:20,Mumbai,22:10,08h 50m,"55,504",1-stop,,
01-07-2023,Indigo,6E-484,economy,Bangalore,07:10,Mumbai,12:15,05h 05m,"5,230",1-stop,,
01-07-2023,Air India,AI-9517,economy,Bangalore,18:50,Mumbai,12:50,18h 00m,"11,660",2+-stop,,
01-07-2023,Vistara,UK-812,economy,Bangalore,09:45,Mumbai,21:35,11h 50m,"16,057",1-stop,,
01-07-2023,Air India,AI-748,business,Bangalore,02:40,Mumbai,20:05,17h 25m,"56,899",1-stop,,
01-07-2023,Vistara,UK-812,business,Bangalore,09:45,Mumbai,17:40,07h 55m,"68,009",1-stop,,
01-07-2023,Air India,AI-503,business,Bangalore,17:50,Mumbai,11:15,17h 25m,"55,504",1-stop,,
01-07-2023,Vistara,UK-836,economy,Chennai,10:45,Bangalore,11:50,25h 05m,"12,441",1-stop,,
01-07-2023,Air India,AI-538,economy,Chennai,20:20,Bangalore,20:05,23h 45m,"15,911",1-stop,,
01-07-2023,Air India,AI-538,economy,Chennai,20:20,Bangalore,16:15,19h 55m,"15,911",1-stop,,
